"","organisation_name","organisation_id","change_disc_inel_hh","change_disc_el_hh","net_change_hh","no_hholds_discretionary_v.x","no_hholds_discretionary_ineligible_v.x","no_hholds_discretionary_v.y","no_hholds_discretionary_ineligible_v.y"
"160","Knowsley Metropolitan Borough Council","E08000011",0,0,0,NA,NA,NA,NA
"161","Wigan Metropolitan Borough Council","E08000010",0,0,0,NA,NA,NA,NA
"162","Reigate and Banstead Borough Council","E07000211",0,0,0,NA,NA,NA,NA
"163","Bury Metropolitan Borough Council","E08000002",0,-3,-3,NA,NA,NA,NA
"164","South Ribble Borough Council","E07000126",2,-2,0,NA,NA,NA,NA
"165","Winchester City Council","E07000094",1,0,1,NA,NA,NA,NA
"166","Calderdale Metropolitan Borough Council","E08000033",NA,NA,NA,NA,NA,NA,NA
"167","Warrington Borough Council","E06000007",0,-19,-19,NA,NA,NA,NA
"168","Tonbridge and Malling Borough Council","E07000115",0,0,0,NA,NA,NA,NA
"169","Ashfield District Council","E07000170",0,0,0,NA,NA,NA,NA
"170","South Derbyshire District Council","E07000039",0,-2,-2,"Value reported was 145800",NA,"Value reported was 145800",NA
"171","Kensington and Chelsea Royal Borough","E09000020",17,-16,1,NA,NA,NA,NA
"172","Newcastle City Council","E08000021",0,0,0,NA,NA,NA,NA
"173","West Devon Borough Council","E07000047",1,-1,0,NA,NA,NA,NA
"174","Enfield London Borough","E09000010",6,-31,-25,NA,NA,NA,NA
"175","South Cambridgeshire District Council","E07000012",0,-70,-70,NA,NA,NA,NA
"176","Rushmoor Borough Council","E07000092",1,-1,0,NA,NA,NA,NA
"177","Crawley Borough Council","E07000226",1,-2,-1,NA,NA,NA,NA
"178","Lancaster City Council","E07000121",0,0,0,NA,NA,NA,NA
"179","Canterbury City Council","E07000106",NA,NA,NA,NA,NA,NA,NA
"180","Allerdale Borough Council","E07000026",5,0,5,NA,NA,NA,NA
"181","Liverpool City Council","E08000012",8,-8,0,NA,NA,NA,NA
"182","North Kesteven District Council","E07000139",0,0,0,NA,NA,NA,NA
"183","Barnet London Borough","E09000003",0,0,0,NA,NA,NA,NA
"184","North Devon District Council","E07000043",0,0,0,NA,NA,NA,NA
